title,score,keywords
"السغروشني تكشف دعم ""البنود"" لإنشاء مركز ثانٍ للذكاء الاصطناعي بالمغرب",4.5,السغروشني تكشف دعم البنود لإنشاء مركز للذكاء الاصطناعي بالمغرب
"تصنيف المغرب ""دولة آمنة"" يتصدر المفاوضات الحزبية حول الهجرة بألمانيا",5.0,تصنيف المغرب دولة آمنة يتصدر المفاوضات الحزبية حول الهجرة بألمانيا
باكستان تبعث بسفير جديد للمغرب,2.5,باكستان تبعث بسفير جديد للمغرب
"الإقصاء من اجتماع وزراء الخارجية ببروكسيل ينتظر جبهة ""البوليساريو""",6.0,الإقصاء اجتماع وزراء الخارجية ببروكسيل ينتظر جبهة البوليساريو
"المغرب يحصل على ""درون أكنجي""",1.0,المغرب يحصل درون أكنجي
"أنظمة الدفاع الجوي المغربية تستعين بأحدث صواريخ ""باتريوت"" الأمريكية",3.5,أنظمة الدفاع الجوي المغربية تستعين بأحدث صواريخ باتريوت الأمريكية
خلفيات تعيين الملك رئيسين جديدين لمجلسي التربية وحقوق الإنسان,3.5,خلفيات تعيين الملك رئيسين جديدين لمجلسي التربية وحقوق الإنسان
"العلمي: ""ديون الضمان"" ملف مصطنع .. ولا علاقة لحزب الأحرار بـ""جود""",6.0,العلمي ديون الضمان ملف مصطنع علاقة لحزب الأحرار بـ جود
"خلافات تعمق مشاكل ""البام"" بأصيلة",2.5,خلافات تعمق مشاكل البام بأصيلة
"""الترحال السياسي"" يغري الزموري",2.0,الترحال السياسي يغري الزموري
"""البيجيدي"" يطالب بتأسيس ""المجلس الأعلى للرياضة"" والفصل عن الوزارات",3.0,البيجيدي يطالب بتأسيس المجلس الأعلى للرياضة والفصل الوزارات
الساسي يُقيم مشروع المسطرة الجنائية,2.0,الساسي مشروع المسطرة الجنائية
"الطالبي العلمي: معطيات الوزير بركة عن استيراد الأغنام ""غير صحيحة""",3.0,الطالبي العلمي معطيات الوزير بركة استيراد الأغنام صحيحة
الجامعي يأمل عدم سحب مشروع المسطرة الجنائية لمواجهة تطور الجريمة,5.0,الجامعي يأمل عدم سحب مشروع المسطرة الجنائية لمواجهة تطور الجريمة
أخنوش يجري اتصالات مع النقابات,2.0,أخنوش يجري اتصالات النقابات
استفزازات دبلوماسية خطيرة .. الجزائر تجر المغرب إلى المواجهة العسكرية,2.0,استفزازات دبلوماسية خطيرة الجزائر تجر المغرب المواجهة العسكرية
الحكومة تصغي لمعالم إصلاح التعليم .. وتوسع اختصاصات قطاع الاتصال,4.5,الحكومة تصغي لمعالم إصلاح التعليم وتوسع اختصاصات قطاع الاتصال
رابطة تدين طرد مدير قنصلية المغرب,2.0,رابطة تدين طرد مدير قنصلية المغرب
بورقية وبوعياش وبلكوش .. الديوان الملكي يعلن عن تعيينات جديدة,3.0,بورقية وبوعياش وبلكوش الديوان الملكي يعلن تعيينات جديدة
"الفرق النيابية تراهن على ""النصوص التأسيسية"" في الدورة البرلمانية الربيعية",4.0,الفرق النيابية تراهن النصوص التأسيسية الدورة البرلمانية الربيعية
التهراوي: المجموعات الصحية تقوي الحكامة .. والراتب المتغير يحسن الأجر‎,4.0,التهراوي المجموعات الصحية تقوي الحكامة والراتب المتغير يحسن
الملك يرعى مبادرة بمسجد إثيوبي,1.5,الملك يرعى مبادرة بمسجد إثيوبي
"الملك محمد السادس يؤكد تبني استراتيجية تفعيل ""مؤسسات العقد الاجتماعي""",5.0,الملك محمد السادس يؤكد تبني استراتيجية تفعيل مؤسسات العقد الاجتماعي
العلوي: المغرب مع التعلم مدى الحياة,1.5,العلوي المغرب التعلم مدى الحياة
الملك محمد السادس يترأس إحياء ليلة القدر ويحتفي بحفظة القرآن الكريم,5.5,الملك محمد السادس يترأس إحياء ليلة القدر ويحتفي بحفظة القرآن الكريم
تاريخ المغرب يفضح انتهاكات نظام الجزائر في قضية الكاتب صنصال,4.5,تاريخ المغرب يفضح انتهاكات نظام الجزائر قضية الكاتب صنصال
مدير إيسيسكو يستقبل السفير خطابي,2.5,مدير إيسيسكو يستقبل السفير خطابي
"""التكتل الشعبي"" يناقش قضايا الوطن",2.5,التكتل الشعبي يناقش قضايا الوطن
الجزائر تطرد مدير قنصلية المغرب,1.5,الجزائر تطرد مدير قنصلية المغرب
"""كيب الغربية"" تسعى إلى دعم دونالد ترامب للانفصال عن جنوب إفريقيا",5.5,كيب الغربية تسعى دعم دونالد ترامب للانفصال جنوب إفريقيا
غيلان يخلف بن عيسى بجماعة أصيلة,3.0,غيلان يخلف بن عيسى بجماعة أصيلة
جمعيات وأحزاب تترقب تمويلات رسمية لمشاريع تشجيع تمثيلية المغربيات,4.5,جمعيات وأحزاب تترقب تمويلات رسمية لمشاريع تشجيع تمثيلية المغربيات
29 بالمائة من المغاربة يعتقدون بسعي المساعدات الأمريكية إلى النفوذ,3.5,بالمائة المغاربة يعتقدون بسعي المساعدات الأمريكية النفوذ
ذكرى رحيل آيت إيدر.. انتقادات لازدواجية الخطاب الحقوقي بشأن الصحراء,6.0,ذكرى رحيل آيت إيدر انتقادات لازدواجية الخطاب الحقوقي بشأن الصحراء
المغرب يوسع نطاق مواجهة معاقل الإرهابيين في الساحل الإفريقي,2.0,المغرب يوسع نطاق مواجهة معاقل الإرهابيين الساحل الإفريقي
"نصف قرن عن ""المسيرة الخضراء"".. معنينو يقترح مبادرات لائقة بالحدث",5.5,نصف قرن المسيرة الخضراء معنينو يقترح مبادرات لائقة بالحدث
الكونغرس يحتفي بصداقة المغرب,1.0,الكونغرس يحتفي بصداقة المغرب
"دول إفريقية تشيد بـ""المبادرة المغربية""",1.0,دول إفريقية تشيد بـ المبادرة المغربية
ميداوي يكشف تدابير بكليات الطب,2.5,ميداوي يكشف تدابير بكليات الطب
موريتانيا تشيد بالعلاقات مع المغرب,1.0,موريتانيا تشيد بالعلاقات المغرب
ألباريس: المغرب يحترم قانون البحار,1.5,ألباريس المغرب يحترم قانون البحار
الملك محمد السادس يهنئ بنغلاديش,1.5,الملك محمد السادس يهنئ بنغلاديش
"الدعم الدولي للصحراء المغربية يضع دي ميستورا أمام ""المسؤولية الأممية""",7.5,الدعم الدولي للصحراء المغربية يضع دي ميستورا المسؤولية الأممية
المغرب يدعم إعادة إدماج النيجر وبوركينافاسو ومالي في الاتحاد الإفريقي,4.5,المغرب يدعم إعادة إدماج النيجر وبوركينافاسو ومالي الاتحاد الإفريقي
بنعلي تُبرز تجربة المغرب ببريطانيا,1.0,بنعلي تجربة المغرب ببريطانيا
المغرب وإسبانيا يحققان تعاونا تاريخيا,1.5,المغرب وإسبانيا يحققان تعاونا تاريخيا
شغور منصب السفير المغربي يعكس استمرار الأزمة بين الرباط وتونس,3.5,شغور منصب السفير المغربي يعكس استمرار الأزمة الرباط وتونس
"سفارة أمريكا بالرباط تنبه ""الحراكَة""",3.0,سفارة أمريكا بالرباط تنبه
المغرب يدين استغلال الجزائر السياسي لملف حقوق الإنسان بمجلس الأمن,4.0,المغرب يدين استغلال الجزائر السياسي لملف حقوق الإنسان بمجلس الأمن
القوات المسلحة المغربية تساهم في دليل جديد لعمليات حفظ السلام الأممية,6.0,القوات المسلحة المغربية تساهم دليل جديد لعمليات حفظ السلام الأممية
الملك محمد السادس يهنئ اليونانيين,1.5,الملك محمد السادس يهنئ اليونانيين
المعارضة تشكو دعاية حكومية .. ومصدر: حق مخاطبة الرأي العام,5.5,المعارضة تشكو دعاية حكومية ومصدر حق مخاطبة الرأي العام
باحثون: تعيينات الملك ترسخ الكفاءة وحكامة المؤسسات الدستورية,3.0,باحثون تعيينات الملك ترسخ الكفاءة وحكامة المؤسسات الدستورية
المغرب يحتل المركز 102 عالميا في مشاركة النساء بالعمل التشريعي,3.0,المغرب يحتل المركز عالميا مشاركة النساء بالعمل التشريعي
المغرب وأمريكا .. من السلطان محمد الثالث إلى الملك محمد السادس,4.0,المغرب وأمريكا السلطان محمد الثالث الملك محمد السادس
"وهبي: هوية المهاجرين الأفارقة تطرح إشكالات.. وتصوير الاستجواب ""صعب""",5.5,وهبي هوية المهاجرين الأفارقة تطرح إشكالات وتصوير الاستجواب صعب
الرئيس الجزائري يتودد لفرنسا .. من حرب البلاغات إلى السعي نحو التهدئة,6.0,الرئيس الجزائري يتودد لفرنسا حرب البلاغات السعي التهدئة
بوريطة يتباحث بالرباط مع دي ميستورا,1.5,بوريطة يتباحث بالرباط دي ميستورا
اليوم الدولي للحقيقة يسلط الضوء على انتهاكات البوليساريو والدسائس الجزائرية,7.5,اليوم الدولي للحقيقة يسلط الضوء انتهاكات البوليساريو والدسائس الجزائرية
البيرو تؤكد مناصرة مغربية الصحراء,2.5,البيرو تؤكد مناصرة مغربية الصحراء
الملك محمد السادس يعين مسؤولين على رأس 3 مؤسسات دستورية,3.0,الملك محمد السادس يعين مسؤولين رأس مؤسسات دستورية
"المغرب وغانا يريدان ""إسقاط الفيزا""",1.5,المغرب وغانا يريدان إسقاط الفيزا
الخياري يضيء عتمات المادة الثالثة من مشروع قانون المسطرة الجنائية‎,4.0,الخياري يضيء عتمات المادة الثالثة مشروع قانون المسطرة
"أوزين يعتزم اللجوء إلى ""الهاكا""",2.0,أوزين يعتزم اللجوء الهاكا
النقابات تستعد لمواجهة القانون التنظيمي للإضراب بخطوات تصعيدية,3.0,النقابات تستعد لمواجهة القانون التنظيمي للإضراب بخطوات تصعيدية
الملك يهنئ باكستان بالعيد الوطني,1.5,الملك يهنئ باكستان بالعيد الوطني
"جنوب إفريقيا تختلق نقاشات بديلة بدعم البوليساريو لإخفاء ""الأبارتايد الجديد""",6.0,جنوب إفريقيا تختلق نقاشات بديلة بدعم البوليساريو لإخفاء الأبارتايد الجديد
قرار المحكمة الدستورية بشأن قانون الإضراب .. من الخلاف إلى التوافق,4.0,قرار المحكمة الدستورية بشأن قانون الإضراب الخلاف التوافق
"من ""الأبارتهايد"" إلى الإبادة.. ""أمنستي المغرب"" تناقش حقوق الإنسان بفلسطين",3.0,الأبارتهايد الإبادة أمنستي المغرب تناقش حقوق الإنسان بفلسطين
"هل يتجه ترامب إلى وقف تمويل بعثة ""المينورسو"" للصحراء المغربية؟",2.0,يتجه ترامب وقف تمويل بعثة المينورسو للصحراء المغربية
"مركز حقوقي يدين ""جرائم إسرائيل""",4.5,مركز حقوقي يدين جرائم إسرائيل
إحداث بنيات وتعيينات أمنية جديدة,2.5,إحداث بنيات وتعيينات أمنية جديدة
الداخلية تتصدى لاستغلال الحافلات المدرسية في رحلات ترفيهية لأغراض انتخابية,4.5,الداخلية تتصدى لاستغلال الحافلات المدرسية رحلات ترفيهية لأغراض انتخابية
مقترح قانون لمنع تضارب المصالح,2.5,مقترح قانون لمنع تضارب المصالح
تقرير يبرز تعويل أوروبا على المغرب في مكافحة تدفقات المهاجرين السريين,4.5,تقرير يبرز تعويل أوروبا المغرب مكافحة تدفقات المهاجرين السريين
باحثون: المبادرة الأطلسية تعد باستغلال إمكانات الاقتصاد الأزرق بإفريقيا,5.5,باحثون المبادرة الأطلسية تعد باستغلال إمكانات الاقتصاد الأزرق بإفريقيا
المغرب يعزز النفوذ العسكري في إفريقيا عبر اتفاقيات شراكة جديدة,4.5,المغرب يعزز النفوذ العسكري إفريقيا عبر اتفاقيات شراكة جديدة
سفير مصر: القاهرة تدعم الوحدة الترابية للمغرب .. وفرص كبيرة بين البلدين,6.0,سفير مصر القاهرة تدعم الوحدة الترابية للمغرب وفرص كبيرة البلدين
الجامعي يدعو البرلمان إلى حماية الحقوق في مشروع المسطرة الجنائية,4.0,الجامعي يدعو البرلمان حماية الحقوق مشروع المسطرة الجنائية
"مصالح الداخلية تضرب طوقا من المراقبة على تحركات ""المنتخبين الرحل""",3.0,مصالح الداخلية تضرب طوقا المراقبة تحركات المنتخبين الرحل
الفريق الحركي يطلب تقييم التشغيل,2.5,الفريق الحركي يطلب تقييم التشغيل
"نقابة: الحوار الاجتماعي ""غير ذي جدوى"".. و""لا تنازل عن حق الإضراب""",3.5,نقابة الحوار الاجتماعي جدوى تنازل حق الإضراب
خبير يقارب تأثير المادة الثالثة من مشروع المسطرة الجنائية على الحريات,5.5,خبير يقارب تأثير المادة الثالثة مشروع المسطرة الجنائية الحريات
"الحكومة تستعد لمؤازرة ""الكسابة"" بعد منع ذبح إناث الأغنام والماعز",4.5,الحكومة تستعد لمؤازرة الكسابة منع ذبح إناث الأغنام والماعز
"وفد فرنسي رفيع المستوى يعقد مباحثات مع مسؤولي ""المينورسو"" بالعيون",5.5,وفد فرنسي رفيع المستوى يعقد مباحثات مسؤولي المينورسو بالعيون
تنسيق مغربي إسباني يوقف داعشيا,2.5,تنسيق مغربي إسباني يوقف داعشيا
هذه تفاصيل أشغال مجلس الحكومة,0.0,تفاصيل أشغال مجلس الحكومة
المغرب يدعو إلى ذكاء اصطناعي أخلاقي,1.5,المغرب يدعو ذكاء اصطناعي أخلاقي
الحكومة ترفض منطق الانتقائية في الشراكة بين المغرب والاتحاد الأوروبي,4.0,الحكومة ترفض منطق الانتقائية الشراكة المغرب والاتحاد الأوروبي
تفاصيل لقاء “ساخن” لقادة الأغلبية بعد خطاب بركة المعارض للحكومة,5.5,تفاصيل لقاء ساخن لقادة الأغلبية خطاب بركة المعارض للحكومة
المغرب يدين بشدة الهجوم الإسرائيلي على غزة ويطالب بوقف إطلاق النار,7.0,المغرب يدين بشدة الهجوم الإسرائيلي غزة ويطالب بوقف إطلاق النار
الاتحاد الإفريقي يكرس حصرية مجلس الأمن في ملف الصحراء المغربية,2.5,الاتحاد الإفريقي يكرس حصرية مجلس الأمن ملف الصحراء المغربية
مثقفون: سياسات عمومية تنهي توارث الفقر.. والإيديولوجيا تدور حول الشمس,6.0,مثقفون سياسات عمومية تنهي توارث الفقر والإيديولوجيا تدور حول الشمس
"هل يعتزم ""الاتحاد الاشتراكي"" العودة إلى الواجهة من بوابة ""انتقاد الغلاء""؟",3.0,يعتزم الاتحاد الاشتراكي العودة الواجهة بوابة انتقاد الغلاء
"أكاديميون مغاربة يدافعون عن إيجابيات قانون ""الدفع بـعدم الدستورية""",4.0,أكاديميون مغاربة يدافعون إيجابيات قانون الدفع بـعدم الدستورية
"من دي ميستورا إلى نكاز.. مقترح ""تقسيم الصحراء"" يفضح الدور الجزائري",5.5,دي ميستورا نكاز مقترح تقسيم الصحراء يفضح الدور الجزائري
"وهبي: تجار مخدرات يطلبون ""الإفراج المقيد"".. وتسليم الأجانب قرار سياسي",6.0,وهبي تجار مخدرات يطلبون الإفراج المقيد وتسليم الأجانب قرار سياسي
أخنوش يترأس اجتماعا بشأن الحوز,2.5,أخنوش يترأس اجتماعا بشأن الحوز
"حزب ""الكتاب"" يرفض ""القفة الانتخابية""",2.5,حزب الكتاب يرفض القفة الانتخابية
"الصراع يشتعل حول خليفة بن عيسى في أصيلة و""الحصان"" ينتظر هدية",6.0,الصراع يشتعل حول خليفة بن عيسى أصيلة الحصان ينتظر هدية
"وهبي يتمسك بمصطلح ""الأحداث"" عوض ""الأطفال"" في التشريع الجنائي",3.5,وهبي يتمسك بمصطلح الأحداث الأطفال التشريع الجنائي
المغرب يدعم الدول في مرحلة الانتقال,1.5,المغرب يدعم الدول مرحلة الانتقال
"تطورات خلافات ""الدستوري"" بالشمال",2.0,تطورات خلافات الدستوري بالشمال
"هل يقف ""السباق الانتخابي"" وراء عدم تفعيل مجموعة ""المغرب الأخضر""؟",4.5,يقف السباق الانتخابي وراء عدم تفعيل مجموعة المغرب الأخضر
"""فريق الكتاب"" يستعجل حضور لفتيت",2.5,فريق الكتاب يستعجل حضور لفتيت
البوليساريو تجرب الخطاب الحقوقي لاختراق المواقف الدولية حول الصحراء,7.5,البوليساريو تجرب الخطاب الحقوقي لاختراق المواقف الدولية حول الصحراء
الاتحاد الأفريقي يؤكد رؤية المغرب,1.5,الاتحاد الأفريقي يؤكد رؤية المغرب
لوديي يستقبل وزيرا من الكاميرون,1.0,لوديي يستقبل وزيرا الكاميرون
"""العدالة والتنمية"" يستنكر حرب الإبادة",2.5,العدالة والتنمية يستنكر حرب الإبادة
"هيئات مغربية تدعو إلى ملاحقة الجزائري ""رشيد نكاز"" بعد توقيفه بمراكش",5.5,هيئات مغربية تدعو ملاحقة الجزائري رشيد نكاز توقيفه بمراكش
مجلس الحكومة يتدارس مدونة السير,0.5,مجلس الحكومة يتدارس مدونة السير
القرار الأمريكي بوقف المساعدات يفتح المجال لدور مغربي في الساحل,5.5,القرار الأمريكي بوقف المساعدات يفتح المجال لدور مغربي الساحل
"الكونغرس البيروفي يحث الحكومة على دعم ""الحكم الذاتي"" في الصحراء",3.0,الكونغرس البيروفي يحث الحكومة دعم الحكم الذاتي الصحراء
"بنعبد الله: ""الكتاب"" يؤازر ""ساكنة المحيط"" بلا أي خلفيات سياسوية",5.5,بنعبد الله الكتاب يؤازر ساكنة المحيط بلا خلفيات سياسوية
الملك يهنئ الوزير الأول الكندي,0.5,الملك يهنئ الوزير الأول الكندي
رئيس زامبيا يبعث رسالة إلى الملك,1.5,رئيس زامبيا يبعث رسالة الملك
وزير خارجية البيرو السابق: سيادة المغرب على الصحراء غير قابلة للتفاوض,3.5,وزير خارجية البيرو السابق سيادة المغرب الصحراء قابلة للتفاوض
بريظ يقوم بزيارة عمل إلى السعودية,2.5,بريظ يقوم بزيارة عمل السعودية
المغرب يسلم الجزائر جثمان مهاجر,1.5,المغرب يسلم الجزائر جثمان مهاجر
مياه وادي كير .. المغرب يتجنب الرد على تفاهات النظام الجزائري,4.5,مياه وادي كير المغرب يتجنب الرد تفاهات النظام الجزائري
وفد برلماني نسائي يروج للمناصفة,2.5,وفد برلماني نسائي يروج للمناصفة
"محللون: تصريحات وزير الداخلية الفرنسي ""إهانة غير مسبوقة"" لنظام الجزائر",3.5,محللون تصريحات وزير الداخلية الفرنسي إهانة مسبوقة لنظام الجزائر
"""الاشتراكي الموحد"" يطالب الرئيس السوري بتجنب ممارسات نظام الأسد",5.5,الاشتراكي الموحد يطالب الرئيس السوري بتجنب ممارسات نظام الأسد
"نداء دولي يدين تجنيد ""أطفال تندوف""",3.0,نداء دولي يدين تجنيد أطفال تندوف
"هل تفجر انتقادات ""الأصالة والمعاصرة"" الضمنية للحكومة ""أغلبية أخنوش""؟",4.0,تفجر انتقادات الأصالة والمعاصرة الضمنية للحكومة أغلبية أخنوش
"""المقاتلات الشبحية"" تشعل معركة الردع الجوي بين المغرب والجزائر",3.0,المقاتلات الشبحية تشعل معركة الردع الجوي المغرب والجزائر
بوصوف يرصد تداعيات التوتر الدبلوماسي بين أمريكا وجنوب إفريقيا,6.0,بوصوف يرصد تداعيات التوتر الدبلوماسي أمريكا وجنوب إفريقيا
‬فرحاوي يحاضر في السياسة الخارجية,3.5,يحاضر السياسة الخارجية
"ورقة بحثية تنبّه إلى ""حالة عدم اليقين"" بعد الانتخابات التشريعية في ألمانيا",4.0,ورقة بحثية حالة عدم اليقين الانتخابات التشريعية ألمانيا
اجتماع طرابلس المغاربي يُطلق تحذيرات ليبية من الاصطفافات السياسية,3.5,اجتماع طرابلس المغاربي تحذيرات ليبية الاصطفافات السياسية
"انطلاق لقاءات ميدانية لـ""جيل 2030""",2.5,انطلاق لقاءات ميدانية لـ جيل
أوريد يناقش تغيرات الساحة الدولية,4.5,أوريد يناقش تغيرات الساحة الدولية
"خبراء: المناورات العسكرية الإسبانية ""عين النسر"" لا تستهدف المغرب",2.5,خبراء المناورات العسكرية الإسبانية النسر تستهدف المغرب
المدور يدرُس النظام الداخلي للبرلمان,2.0,المدور النظام الداخلي للبرلمان
الحكومة تتفاعل مع 33% من الأسئلة الشفوية المطروحة بغرفتي البرلمان,2.5,الحكومة تتفاعل الأسئلة الشفوية المطروحة بغرفتي البرلمان
منظمة العفو تفضح انتهاكات إسرائيل,4.5,منظمة العفو تفضح انتهاكات إسرائيل
هل تتملص أحزابٌ داخل الأغلبية الحكومية من مسؤولية غلاء الأسعار؟,3.5,تتملص داخل الأغلبية الحكومية مسؤولية غلاء الأسعار
فريق نيابي يطالب بحضور برادة,2.5,فريق نيابي يطالب بحضور برادة
"هل يتخلى تنسيق المعارضة بمجلس النواب عن خيار ""الندوة المشتركة""؟",3.0,يتخلى تنسيق المعارضة بمجلس النواب خيار الندوة المشتركة
تنفيذ وتمويل وإشادة.. ورقة بحثية ترصد مكافحة القانون المغربي للإرهاب,5.0,تنفيذ وتمويل وإشادة ورقة بحثية ترصد مكافحة القانون المغربي للإرهاب
خبراء: تحديات تواجه استخدام الأحزاب للذكاء الاصطناعي في الانتخابات,4.0,خبراء تحديات تواجه استخدام الأحزاب للذكاء الاصطناعي الانتخابات
"الزهراوي يقتفي سياقات تحول ""تونس قيس سعيد"" إلى ""صوت للجزائر""",5.5,الزهراوي يقتفي سياقات تحول تونس قيس سعيد صوت للجزائر
وزير العدل: مدّ سياسي يسعى إلى هدم مشروع قانون المسطرة الجنائية,4.5,وزير العدل سياسي يسعى هدم مشروع قانون المسطرة الجنائية
"""سيديتي"" تغادر جبهة لدعم فلسطين",2.5,سيديتي تغادر جبهة لدعم فلسطين
فرق الأغلبية تسندُ ظهر الحكومة بالدعم السياسي لإخراج المسطرة الجنائية,4.5,فرق الأغلبية ظهر الحكومة بالدعم السياسي لإخراج المسطرة الجنائية
الحكومة تُتابع الحصيلة مع البرلمان,0.5,الحكومة الحصيلة البرلمان
بايتاس: تصدير زيت الزيتون المغربي إلى الخارج مقتصر على نوع معين,4.5,بايتاس تصدير زيت الزيتون المغربي الخارج مقتصر نوع معين
الملك يتمنى الشفاء العاجل للبابا,1.5,الملك يتمنى الشفاء العاجل للبابا
الهباش: الشعب الفلسطيني يعتز بمواقف الملك محمد السادس تجاه القضية,4.5,الهباش الشعب الفلسطيني يعتز بمواقف الملك محمد السادس القضية
"قرار: ""قانون الإضراب"" دستوري",2.0,قرار قانون الإضراب دستوري
"قيوح: نقل الأشخاص باعتماد ""التطبيقات الذكية"" يخالف القوانين المغربية",3.5,قيوح نقل الأشخاص باعتماد التطبيقات الذكية يخالف القوانين المغربية
"""التعاون القضائي"" يسهل إجراءات تسليم المجرمين بين المغرب وفرنسا",5.0,التعاون القضائي يسهل إجراءات تسليم المجرمين المغرب وفرنسا
الشراكة الثنائية تقود إلى ارتفاع تدفقات الأسلحة من مدريد إلى الرباط,3.0,الشراكة الثنائية تقود ارتفاع تدفقات الأسلحة مدريد الرباط
تعيينات في مناصب المسؤولية بالأمن,2.0,تعيينات مناصب المسؤولية بالأمن
دبلوماسية حقوق الإنسان تعزز حضور المغرب في المؤسسات الدولية,5.0,دبلوماسية حقوق الإنسان تعزز حضور المغرب المؤسسات الدولية
تقرير استراتيجي يرصد أبعاد وتطورات الحرب بين المغرب والجزائر,3.0,تقرير استراتيجي يرصد أبعاد وتطورات الحرب المغرب والجزائر
مباحثات مغربية أذربيجانية في الرباط,1.0,مباحثات مغربية أذربيجانية الرباط
"وهبي: المال العام ""ماشي سايب"" .. والمزايدات تسيء إلى الديمقراطية",4.0,وهبي المال العام ماشي سايب والمزايدات تسيء الديمقراطية
"""البام"" يحدد شروط نجاح خطة الشغل",3.0,البام يحدد شروط نجاح خطة الشغل
"""جيل 2030"" و""سنة التطوع"" .. تسخينات انتخابية أم مبادرات سياسية؟",3.5,جيل سنة التطوع تسخينات انتخابية مبادرات سياسية
"من جنيف.. منظمة إفريقية تنتفض ضد ""مافيا المساعدات"" في تندوف",4.0,جنيف منظمة إفريقية تنتفض ضد مافيا المساعدات تندوف
"آيت يدر بعيون أكاديميين وسياسيين.. مهندس تنظيمي و""مؤمن بالديمقراطية""",5.5,آيت يدر بعيون أكاديميين وسياسيين مهندس تنظيمي مؤمن بالديمقراطية
الكرجي تستعرض تمكين المغربيات,1.0,الكرجي تستعرض تمكين المغربيات
"بوصوف يبرز نجاح ""المحاكمة الشعبية"" في كشف زيف ""الطابور السادس""",5.5,بوصوف يبرز نجاح المحاكمة الشعبية كشف زيف الطابور السادس
"أخنوش يوصي بالفعالية في ""الصحة""‬",2.0,أخنوش يوصي بالفعالية الصحة
الملك يترحم على جده محمد الخامس‎,1.0,الملك يترحم جده محمد
"وهبي: جمعيات تبتزّ باسم محاربة الفساد .. و""أُقسم بالله أنني لنْ أقبل أي تعديل""",4.0,وهبي جمعيات باسم محاربة الفساد بالله أنني تعديل
"ديباجة مشروع المسطرة الجنائية تثير الجدل .. وهبي: ""ليست مهمّة دينية""",4.0,ديباجة مشروع المسطرة الجنائية تثير الجدل وهبي دينية
مسؤولون يترحمون على محمد الخامس .. باني الأمة ومُضَحٍّ للاستقلال,3.5,مسؤولون يترحمون محمد الخامس باني الأمة للاستقلال
"""بيرقدار-أقنجي"" تحلق 100 ألف ساعة .. وخبراء: إضافة للقوات المغربية",1.0,تحلق ساعة وخبراء إضافة للقوات المغربية
"الحركة الشعبية تطالب بـ""مهمتين استطلاعيتين"" لأسعار اللحوم الحمراء والسمك",6.0,الحركة الشعبية تطالب بـ مهمتين استطلاعيتين لأسعار اللحوم الحمراء والسمك
هذه أسباب محاولات برلمانيين ونشطاء أوروبيين زيارة الصحراء المغربية,2.0,أسباب محاولات برلمانيين ونشطاء أوروبيين زيارة الصحراء المغربية
"اليسار ينتقد عمليات الهدم بالرباط ويطالب السلطات بـ""احترام القوانين""",5.0,اليسار ينتقد عمليات الهدم بالرباط ويطالب السلطات بـ احترام القوانين
"جدل ""التسخينات الانتخابية"" يحضر في اجتماع لجنة المالية بمجلس النواب",4.5,جدل التسخينات الانتخابية يحضر اجتماع لجنة المالية بمجلس النواب
المغرب والجزائر يخفضان واردات السلاح في إفريقيا بنسبة 44 بالمائة,3.0,المغرب والجزائر يخفضان واردات السلاح إفريقيا بنسبة بالمائة
مباحثات تجمع الداكي بجيرالد دارمانان,2.5,مباحثات تجمع الداكي بجيرالد دارمانان
لقاء عبد النباوي ووزير العدل الفرنسي,2.0,لقاء عبد النباوي ووزير العدل الفرنسي
المغرب وفرنسا يعززان التعاون في مكافحة الإرهاب والجريمة المنظمة,5.0,المغرب وفرنسا يعززان التعاون مكافحة الإرهاب والجريمة المنظمة
"المعارضة تؤجل لقاء ""لجنة المالية""",2.5,المعارضة تؤجل لقاء لجنة المالية
المغرب يحيي ذكرى محمد الخامس,1.5,المغرب يحيي ذكرى محمد الخامس
"اجتماع ""لجنة المالية"" يشعل غضب مكونات المعارضة في مجلس النواب",4.5,اجتماع لجنة المالية يشعل غضب مكونات المعارضة مجلس النواب
"""معارضو بنكيران"" يتكتمون على تحضيرات المشاركة في ""مؤتمر البيجيدي""",3.5,معارضو بنكيران يتكتمون تحضيرات المشاركة مؤتمر البيجيدي
التوترات بين أوروبا والولايات المتحدة الأمريكية تختبر الدبلوماسية المغربية,2.0,التوترات أوروبا والولايات المتحدة الأمريكية تختبر الدبلوماسية المغربية
"الشروع في الاشتغال الميداني الجماعي ينتظر حسم قيادات ""التكتل الشعبي""",5.5,الشروع الاشتغال الميداني الجماعي ينتظر حسم قيادات التكتل الشعبي
المناورات العسكرية بين المغرب وفرنسا تثير ازدواجية المواقف الجزائرية,5.0,المناورات العسكرية المغرب وفرنسا تثير ازدواجية المواقف الجزائرية
هل تستطيع المرأة الوصول إلى رئاسة الحكومة المغربية في المستقبل؟,0.5,تستطيع المرأة الوصول رئاسة الحكومة المغربية المستقبل
أموال تهدد نزاهة الاتحاد الإفريقي,2.5,أموال تهدد نزاهة الاتحاد الإفريقي
التعاون الخفي بين الإرهابيين يهدد سلامة الشعوب بمنطقة شمال إفريقيا,4.0,التعاون الخفي الإرهابيين يهدد سلامة الشعوب بمنطقة إفريقيا
ندوة تبرز الإنجازات في الصحراء,2.0,ندوة تبرز الإنجازات الصحراء
مدريد تتجاهل ترحيل نواب أوروبيين,2.5,مدريد تتجاهل ترحيل نواب أوروبيين
